Brand,Model,Variant,Year of Manufacture,Driven Kilometers,Fuel type,Transmission Type,Number of Owners,Location,Price in Lakhs
Maruti,Suzuki,LXI CNG Avance Edition,2015,"94,000",CNG & HYBRIDS,MANUAL,2nd,Maharashtra," 4,10,000"
Maruti,Suzuki,ZXI AMT,2018,6478.0,PETROL,AUTOMATIC,1st,Maharashtra," 5,10,000"
Maruti,Suzuki,5 STR BS-III,2008,112000.0,PETROL,MANUAL,2nd,Tamil," 1,80,000"
Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,2005,110000.0,DIESEL,MANUAL,1st,Rajasthan," 3,15,000"
Mahindra,Xylo,2012-2014 D4 BSIV,2012,82000.0,DIESEL,MANUAL,2nd,Karnataka," 3,95,000"
Lamborghini,Aventador,LP700 4,2013,15000.0,PETROL,AUTOMATIC,2nd,Tamil," 2,25,00,000"
Other,Brands,,2019,2800.0,PETROL,MANUAL,1st,Kerala," 9,35,000"
Maruti,Suzuki,2011-2014 VDI,2013,62000.0,DIESEL,MANUAL,2nd,Delhi," 3,25,000"
Maruti,Suzuki,VXI,2006,97000.0,CNG & HYBRIDS,MANUAL,4+,Maharashtra," 1,60,000"
Volkswagen,Vento,1.6 Highline,2011,59463.0,PETROL,MANUAL,1st,Maharashtra," 3,35,000"
Maruti Suzuki,Vitara Brezza,ZDi+ Dual Tone [2017-2018],Jun 2018,"43,000",Diesel,Manual,First,Noida,9.5
Maruti,Suzuki,8 Seater BSIV,2018,47000.0,PETROL,MANUAL,1st,Karnataka," 3,65,000"
Maruti,Suzuki,VXI,2010,41000.0,PETROL,MANUAL,1st,Karnataka," 2,55,000"
Maruti,Suzuki,VXI,2014,"59,000",PETROL,MANUAL,2nd,Kerala," 2,75,000"
Bmw,5,520d Luxury Line,2020,"20,000",DIESEL,AUTOMATIC,1st,Tamil," 53,00,000"
Maruti,Suzuki,Tour S,2019,50000.0,DIESEL,MANUAL,1st,Karnataka," 5,45,000"
Honda,Amaze,,2015,57000.0,DIESEL,MANUAL,1st,Delhi," 2,61,000"
Honda,Br-V,i-VTEC VX MT,2018,48000.0,PETROL,MANUAL,1st,Karnataka," 8,50,000"
Maruti Suzuki,Ertiga,ZDI + SHVS,May 2017,"75,000",Diesel,Manual,Second,Noida,7.5
Tata,Bolt,Quadrajet XE,2018,45000.0,DIESEL,MANUAL,1st,Tamil," 3,80,000"
Maruti,Suzuki,8 Seater BSIV,2017,31000.0,LPG,MANUAL,2nd,Tamil," 3,85,000"
Renault,Kwid,1.0 RXT AMT,2019,13000.0,PETROL,AUTOMATIC,1st,Tamil," 4,90,000"
Maruti,Suzuki,AC BSIII,2007,"25,000",PETROL,MANUAL,4th,Rajasthan," 70,000"
Maruti,Suzuki,VXI,2018,67000.0,--,MANUAL,1st,Karnataka," 6,25,000"
Mahindra,Xuv500,W10 1.99 mHawk,2016,82000.0,DIESEL,MANUAL,1st,Rajasthan," 10,00,000"
Honda,City,i-VTEC CVT VX,2019,20000,PETROL,AUTOMATIC,First,Delhi," 12,50,000"
Maruti,Suzuki,VXI,2009,20000,PETROL,MANUAL,Second,Kerala," 2,30,000"
Audi,Q3,35 TDI Quattro Premium,2015,64700.0,DIESEL,AUTOMATIC,1st,Maharashtra," 18,91,000"
Volkswagen,Polo,1.5 TDI Highline,2013,116000.0,DIESEL,MANUAL,1st,Tamil," 4,70,000"
Hyundai,Santro,XO,2004,1.0,--,--,3rd,Tamil," 9,50,000"
Maruti,Suzuki,LXI,2015,48000.0,PETROL,MANUAL,1st,Karnataka," 5,25,000"
Audi,A6,2.0 TDI Premium,2011,85000.0,DIESEL,AUTOMATIC,--,Maharashtra," 8,25,000"
Skoda,Octavia,1.8 TSI AT Style Plus,2017,90000,PETROL,AUTOMATIC,Second,Karnataka," 16,00,000"
Mercedes-Benz,E-Class,E250 CDI Classic,2014,56000.0,DIESEL,AUTOMATIC,1st,Kerala," 23,50,000"
Hyundai,Verna,2011-2014 1.6 CRDI,2011,47000.0,--,MANUAL,2nd,Karnataka," 4,90,000"
Hyundai,Aura,S Manual,2020,30000,CNG,MANUAL,First,Maharashtra," 7,50,000"
Maruti,Suzuki,AC,1996,--,PETROL,MANUAL,3rd,Kerala," 50,000"
Nissan,Datsun,Others,2021,13452.0,PETROL,MANUAL,1st,Rajasthan," 4,00,000"
Ford,Fiesta,Others,2011,"70,383",DIESEL,MANUAL,1st,Maharashtra," 3,25,000"
Hyundai,I20,1.2 Asta,2010,56692.0,PETROL,MANUAL,2nd,Karnataka," 3,75,000"
Hyundai,Grand,1.2 Kappa Sportz,2018,14950.0,PETROL,MANUAL,1st,Delhi," 5,45,000"
Hyundai,I20,1.2 Asta,2010,80000.0,PETROL,MANUAL,2nd,Maharashtra," 2,65,000"
Maruti,Suzuki,VDI,2014,70000.0,DIESEL,MANUAL,1st,Maharashtra," 5,25,000"
Tata,Safari,XZA Plus,Jun 2021,"3,200",Diesel,Automatic,First,Noida,23.7
Honda,Amaze,VX CVT i-VTEC,2019,11800.0,PETROL,AUTOMATIC,1st,Maharashtra," 8,11,000"
Hyundai,Elite,Magna 1.2,2017,"33,000",PETROL,MANUAL,1st,Maharashtra," 6,00,000"
Tata,Indica,V2 LS,2017,35000.0,DIESEL,MANUAL,1st,Tamil," 2,20,000"
Skoda,Superb,2008-2013 Elegance 1.8 TSI AT,2012,70000,PETROL,AUTOMATIC,First,Delhi," 3,95,000"
Honda,City,i-VTEC CVT ZX,2020,30000,PETROL,AUTOMATIC,First,Kerala," 16,50,000"
Ford,Mustang,V8,2017,16000.0,PETROL,AUTOMATIC,2nd,Karnataka," 67,00,000"
Mahindra,Scorpio,2009-2014 SLE BSIV,2011,62000.0,DIESEL,MANUAL,1st,Tamil," 5,80,000"
Bmw,5,520d Luxury Line,2016,50000.0,DIESEL,AUTOMATIC,1st,Maharashtra," 26,99,000"
Hyundai,Getz,Prime 1.3 GLX,2007,"38,000",PETROL,MANUAL,1st,Maharashtra," 1,50,000"
Hyundai,Fluidic,1.6 CRDi SX,2013,"79,000",DIESEL,MANUAL,2nd,Rajasthan," 5,10,000"
Tata,Sumo,GX BS IV,2017,137200.0,DIESEL,MANUAL,1st,Tamil," 5,50,000"
Maruti,Suzuki,Delta,2017,107000.0,DIESEL,MANUAL,1st,Tamil," 6,35,000"
Mahindra,Xuv500,W8 4WD,2012,80000.0,DIESEL,MANUAL,2nd,Maharashtra," 5,85,000"
Maruti,Suzuki,Vxi Automatic BS-IV,2015,9600.0,PETROL,AUTOMATIC,1st,Maharashtra," 4,75,000"
Ford,Ecosport,1.5 Diesel Titanium,2013,99000.0,DIESEL,MANUAL,1st,Tamil," 4,99,000"
Honda,Amaze,2013-2016 S AT i-Vtech,2013,"41,000",PETROL,AUTOMATIC,1st,Karnataka," 5,35,000"
Ford,Ecosport,Titanium 1.5L TDCi,Aug 2018,"24,288",Diesel,Manual,First,Noida,8.59
Mercedes-Benz,New,220 BlueEfficiency,2012,85000.0,DIESEL,AUTOMATIC,1st,Tamil," 16,00,000"
Honda,Br-V,i-VTEC S MT,2016,62500.0,PETROL,MANUAL,1st,Karnataka," 6,66,000"
Maruti,Suzuki,VXI,2020,13000.0,PETROL,MANUAL,1st,Kerala," 6,90,000"
Toyota,Etios,1.4 VD Dual Tone,2018,40000.0,DIESEL,MANUAL,1st,Kerala," 7,99,000"
Maruti,Suzuki,LXI,2014,90000.0,PETROL,MANUAL,2nd,Kerala," 3,20,000"
Volkswagen,Polo,Trendline 1.5L (D),Jun 2015,"55,582",Diesel,Manual,First,Noida,3.85
Toyota,Fortuner,3.0 4x2 Automatic,2012,"79,800",DIESEL,AUTOMATIC,2nd,Kerala," 15,50,000"
Maruti,Suzuki,VDI BS IV,2013,85000.0,DIESEL,MANUAL,1st,Delhi," 3,09,900"
Skoda,Octavia,2013-2017 Ambition Plus 2.0 TDI MT,2013,115000.0,DIESEL,MANUAL,2nd,Tamil," 6,40,000"
Maruti,Suzuki,Classic,1999,"130,000",PETROL,MANUAL,3rd,Kerala," 1,65,000"
Mahindra,Logan,Diesel 1.5 DLE,2011,"142,000",DIESEL,MANUAL,3rd,Tamil," 1,39,000"
Mahindra,Verito,1.5 D6 Executive BS-IV,2012,83000.0,DIESEL,MANUAL,1st,Rajasthan," 2,45,000"
Maruti,Suzuki,VXI,2014,72000.0,PETROL,MANUAL,1st,Rajasthan," 2,60,000"
Maruti,Suzuki,Delta Diesel,2016,"37,000",DIESEL,MANUAL,1st,Tamil," 5,45,000"
Maruti,Suzuki,Others,2010,"93,000",PETROL,AUTOMATIC,4th,Tamil," 1,65,000"
Volkswagen,Vento,1.5 TDI Highline,2014,113000.0,DIESEL,MANUAL,1st,Tamil," 5,40,000"
Mahindra,Others,,2006,"115,000",DIESEL,MANUAL,2nd,Tamil," 3,50,000"
Maruti,Suzuki,5 STR With AC Plus HTR CNG,2019,"45,000",PETROL,MANUAL,2nd,Rajasthan," 4,80,000"
Maruti,Suzuki,LDI,2018,105900.0,DIESEL,MANUAL,1st,Rajasthan," 6,15,000"
Volkswagen,Gti,1.8 TSI,2016,92540.0,PETROL,AUTOMATIC,1st,Tamil," 17,50,000"
Maruti,Suzuki,Tour S,2018,60000.0,DIESEL,MANUAL,1st,Rajasthan," 5,70,000"
Maruti,Suzuki,CNG LXI,2014,88000.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 3,62,000"
Ford,Freestyle,Titanium Plus 1.2 Ti-VCT [2018-2020],Jun 2018,"43,484",Petrol,Manual,First,Noida,5.17
Hyundai,Santro,GLS,2008,"84,000",PETROL,MANUAL,2nd,Tamil," 1,68,000"
Volkswagen,Vento,1.2 TSI Highline AT,2014,58000.0,PETROL,AUTOMATIC,1st,Maharashtra," 4,75,000"
Maruti,Suzuki,LXi CNG,2010,54000.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 1,99,990"
Volkswagen,Polo,GT TSI,2018,38000.0,PETROL,AUTOMATIC,2nd,Karnataka," 8,25,000"
Jeep,Compass,Limited Plus Petrol AT,Jun 2020,"3,000",Petrol,Automatic,First,Noida,22.5
Hyundai,Xcent,Others,2021,1.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 90,000"
Maruti,Suzuki,LXi CNG,2015,68000.0,CNG & HYBRIDS,MANUAL,2nd,Maharashtra," 3,50,000"
Hyundai,Xcent,2016-2017 1.2 Kappa S Option CNG,2016,55000.0,CNG & HYBRIDS,MANUAL,1st,Delhi," 4,25,000"
Mercedes-Benz,E-Class,Expression E 220,2019,43000.0,DIESEL,AUTOMATIC,2nd,Delhi," 49,00,000"
Toyota,Etios,1.5 G,2011,65000.0,PETROL,MANUAL,1st,Maharashtra," 3,60,000"
Skoda,Octavia,2000-2010 1.9 TDI,2005,"142,000",DIESEL,MANUAL,2nd,Karnataka," 2,50,000"
Maruti,Suzuki,LXI,2018,34000.0,PETROL,MANUAL,1st,Kerala," 5,35,000"
Ford,Ecosport,Titanium 1.5L TDCi,Jan 2017,"50,477",Diesel,Manual,Second,Noida,6.08
Hyundai,Venue,SX Plus Turbo DCT,2021,"3,600",PETROL,AUTOMATIC,1st,Tamil," 14,00,000"
Maruti,Suzuki,VDI,2014,"91,000",DIESEL,MANUAL,2nd,Kerala," 5,00,000"
Hyundai,Getz,Prime 1.1 GVS,2010,70000,PETROL,MANUAL,First,Delhi," 65,000"
Kia,Seltos,HTX IVT G,2020,"26,000",PETROL,AUTOMATIC,1st,Delhi," 15,85,000"
Honda,Mobilio,E i-DTEC,2014,"163,000",DIESEL,MANUAL,1st,Kerala," 4,25,000"
Hyundai,Accent,GLE CNG,2010,72000.0,LPG,MANUAL,1st,Tamil," 2,25,000"
Mahindra,Xuv500,2011-2015 W6-2WD,2014,84000.0,DIESEL,MANUAL,1st,Karnataka," 8,95,000"
Maruti,Suzuki,LXi,2008,"136,000",PETROL,MANUAL,2nd,Kerala," 1,10,000"
Porsche,Cayenne,Diesel,2015,48000.0,DIESEL,AUTOMATIC,1st,Delhi," 41,00,000"
Maruti,Suzuki,CNG VXI MT,2020,17000.0,CNG & HYBRIDS,MANUAL,1st,Maharashtra," 6,00,000"
Toyota,Innova,2.5 VX 8 STR BS-IV,Jan 2014,"69,958",Diesel,Manual,First,Noida,10.59
Hyundai,Grand,1.2 Kappa Asta,2015,22114.0,PETROL,AUTOMATIC,1st,Karnataka," 5,99,000"
Toyota,Fortuner,2.8 2WD MT,2019,50000.0,DIESEL,MANUAL,1st,Delhi," 28,50,000"
Hyundai,Verna,VTVT 1.6 SX,2021,4000.0,PETROL,MANUAL,1st,Delhi," 11,95,000"
Maruti,Suzuki,ZXI,2008,"72,000",PETROL,MANUAL,2nd,Karnataka," 3,25,000"
Maruti,Suzuki,LXi CNG,2014,78500.0,CNG & HYBRIDS,MANUAL,2nd,Maharashtra," 3,45,000"
Maruti,Suzuki,Zeta Automatic,2020,"20,000",PETROL,AUTOMATIC,1st,Tamil," 8,45,000"
Maruti,Suzuki,VXI,2013,73000.0,PETROL,MANUAL,2nd,Maharashtra," 4,10,000"
Mahindra,Others,,2001,"2,500",DIESEL,MANUAL,4th,Tamil," 1,75,000"
Audi,A4,2014-2016 2.0 TDI Premium Sport Limited Edition,2014,64000.0,DIESEL,AUTOMATIC,1st,Delhi," 14,00,000"
Volkswagen,Vento,1.5 TDI Highline,2016,90000.0,DIESEL,MANUAL,1st,Rajasthan," 5,95,000"
Maruti,Suzuki,Vxi,2007,70000,PETROL,MANUAL,Second,Delhi," 50,000"
Maruti,Suzuki,LXI CNG,2015,70000,CNG,AUTOMATIC,Third,Maharashtra," 2,50,000"
Maruti,Suzuki,ZDI,2014,82000.0,DIESEL,MANUAL,2nd,Karnataka," 7,25,000"
Toyota,Innova,2.5 V 8 STR,2012,189000.0,DIESEL,MANUAL,1st,Tamil," 10,00,000"
Mercedes-Benz,S-Class,S 350 CDI,2014,89000.0,DIESEL,AUTOMATIC,2nd,Delhi," 39,25,000"
Maruti,Suzuki,Vdi BSIV,2014,"157,000",DIESEL,MANUAL,2nd,Tamil," 4,90,000"
Maruti,Suzuki,LXi,2010,"85,000",PETROL,MANUAL,3rd,Kerala," 2,20,000"
Toyota,Innova,2.5 V 8 STR,2008,125000.0,DIESEL,MANUAL,1st,Tamil," 7,75,000"
Hyundai,Grand,Asta 1.2 Kappa VTVT (O),2016,7000.0,PETROL,AUTOMATIC,1st,Maharashtra," 5,75,000"
Volkswagen,Polo,1.5 TDI Comfortline,2013,69000.0,DIESEL,MANUAL,1st,Delhi," 2,09,908"
Mercedes-Benz,E-Class,220 CDI,2014,123000.0,DIESEL,AUTOMATIC,2nd,Tamil," 15,00,000"
Renault,Kwid,1.0 RXT AMT Opt,2017,61000.0,PETROL,AUTOMATIC,1st,Tamil," 4,25,000"
Mahindra,Scorpio,2009-2014 VLX 2WD AIRBAG SE BSIV,2011,90000,DIESEL,MANUAL,Second,Delhi," 5,00,000"
Toyota,Innova,2.5 Z Diesel 7 Seater,2014,170000.0,DIESEL,MANUAL,3rd,Karnataka," 10,50,000"
Hyundai,Santro,GLS II - Euro II,2013,70000.0,PETROL,MANUAL,1st,Tamil," 2,45,000"
Maruti,Suzuki,LXI BS IV,2009,54000.0,PETROL,MANUAL,1st,Maharashtra," 1,10,000"
Hyundai,I20,1.4 Asta,2011,62000.0,DIESEL,MANUAL,2nd,Maharashtra," 2,65,000"
Audi,A4,2014-2016 2.0 TDI 177 Bhp Premium Plus,2015,85000.0,DIESEL,AUTOMATIC,2nd,Kerala," 20,99,999"
Mahindra,Kuv,G80 K2,2018,20000,PETROL,MANUAL,First,Kerala," 3,75,000"
Maruti,Suzuki,,2003,130000.0,DIESEL,MANUAL,2nd,Kerala," 67,000"
Ford,Ecosport,Titanium 1.5 TDCi (Opt),2013,66000.0,DIESEL,--,1st,Delhi," 3,65,000"
Maruti Suzuki,Wagon R,LXI CNG,Jun 2018,"36,000",CNG,Manual,First,Noida,4.5
Maruti,Suzuki,VXI,2013,45000.0,PETROL,MANUAL,1st,Karnataka," 2,75,000"
Ford,Figo,2010-2012 Diesel EXI Option,2011,"65,000",DIESEL,--,2nd,Tamil," 1,99,000"
Renault,Kwid,1.0 RXT Opt [2016-2019],Mar 2017,"41,248",Petrol,Manual,First,Noida,3.36
Hyundai,Elite,Asta 1.2,2015,60000.0,PETROL,MANUAL,1st,Delhi," 5,25,000"
Porsche,Cayenne,S Diesel Platinum Edition,2015,64000.0,DIESEL,AUTOMATIC,2nd,Delhi," 42,75,000"
Toyota,Innova,2004-2011 2.0 G (Petrol) 8 Seater BS IV,2005,10000,CNG,MANUAL,Third,Maharashtra," 3,25,000"
Honda,Civic,1.8 V MT,2009,"135,000",PETROL,MANUAL,3rd,Maharashtra," 2,40,000"
Maruti,Suzuki,VDI,2014,128000.0,DIESEL,MANUAL,1st,Kerala," 4,20,000"
Hyundai,I20,Petrol Spotz,2016,98000.0,PETROL,MANUAL,1st,Tamil," 5,75,000"
Maruti,Suzuki,VXI,2015,53000.0,PETROL,MANUAL,2nd,Tamil," 4,65,000"
Maruti,Suzuki,,2016,35340.0,DIESEL,MANUAL,--,Karnataka," 6,50,000"
Hyundai,Xcent,2014-2016 1.1 CRDi S,2015,76000.0,DIESEL,MANUAL,1st,Rajasthan," 3,50,000"
Ford,Figo,Duratorq ZXI 1.4,2011,63000.0,DIESEL,MANUAL,1st,Tamil," 2,50,000"
Ford,Ecosport,1.5 Diesel Titanium,2017,100000.0,DIESEL,MANUAL,1st,Tamil," 6,05,000"
Mercedes-Benz,E-Class,E 220d Exclusive [2019-2019],May 2019,"41,472",Diesel,Automatic,First,Noida,48.9
Toyota,Etios,Others,2013,200000.0,DIESEL,MANUAL,1st,Tamil," 3,95,000"
Mahindra,Scorpio,2002-2013 2.6 SLX CRDe,2007,140000.0,DIESEL,MANUAL,1st,Tamil," 4,75,000"
Maruti,Suzuki,VDI BS IV,2015,146000.0,DIESEL,MANUAL,1st,Maharashtra," 4,90,000"
Fiat,Linea,2007-2013 Emotion,2012,45000.0,PETROL,MANUAL,1st,Karnataka," 3,40,000"
Maruti,Suzuki,5 Seater AC,2018,16151.0,PETROL,MANUAL,1st,Karnataka," 4,50,000"
Maruti,Suzuki,2009-2011 VDi,2011,90550.0,DIESEL,MANUAL,1st,Rajasthan," 2,75,000"
Other,Brands,,2016,0,DIESEL,--,1st,Rajasthan," 1,10,000"
Honda,City,2008-2011 1.5 S MT,2011,75000.0,PETROL,MANUAL,2nd,Delhi," 3,45,000"
Honda,City,GXi,2005,"109,200",PETROL,MANUAL,3rd,Rajasthan," 1,00,000"
Ashok,Leyland,LS Optional,2014,180000,DIESEL,MANUAL,Third,Tamil," 3,20,000"
Volvo,S60,D4 AWD,2019,33000.0,DIESEL,AUTOMATIC,1st,Karnataka," 33,00,000"
Maruti,Suzuki,Lxi,2010,57000.0,PETROL,MANUAL,1st,Delhi," 1,75,000"
Tata,Nano,2012-2015 LX,2012,"55,000",PETROL,MANUAL,1st,Karnataka," 90,000"
Maruti,Suzuki,LX,2009,--,PETROL,AUTOMATIC,3rd,Rajasthan," 78,000"
Bmw,7,730Ld,2012,108034.0,DIESEL,AUTOMATIC,1st,Rajasthan," 22,00,000"
Maruti,Suzuki,K10 VXi (O),2011,60000.0,PETROL,MANUAL,3rd,Karnataka," 2,24,999"
Mahindra,Kuv,D75 K2,2016,32000.0,DIESEL,MANUAL,1st,Kerala," 3,50,000"
Hyundai,Grand i10,Magna 1.1 CRDi [2016-2017],Jun 2015,"51,466",Diesel,Manual,Second,Noida,3.2
Toyota,Innova,2.4 G MT,2019,82000.0,DIESEL,MANUAL,1st,Maharashtra," 18,50,000"
Maruti,Suzuki,Others,2012,"160,000",DIESEL,MANUAL,1st,Rajasthan," 3,20,000"
Tata,Indica,eLX,2006,"750,000",DIESEL,AUTOMATIC,2nd,Tamil," 65,000"
Tata,Zest,,2015,88000.0,DIESEL,MANUAL,2nd,Karnataka," 5,00,000"
Renault,Duster,Petrol RXS CVT,2018,"31,000",PETROL,AUTOMATIC,1st,Karnataka," 10,00,000"
Maruti,Suzuki,2014-2017 AT ZXi,2016,65600.0,PETROL,AUTOMATIC,2nd,Maharashtra," 6,11,110"
Hyundai,Fluidic,1.6 VTVT SX,2018,26500.0,PETROL,MANUAL,1st,Karnataka," 10,70,000"
Hyundai,Verna,EX 1.6 CRDi [2017-2018],Sep 2018,"25,000",Diesel,Manual,First,Noida,9.25
Bmw,X3,xDrive 20d xLine,2017,"57,200",DIESEL,AUTOMATIC,3rd,Tamil," 22,50,000"
Maruti,Suzuki,VXI,2008,79000.0,PETROL,MANUAL,2nd,Karnataka," 3,00,000"
Bmw,X1,sDrive 20d xLine,2020,2096.0,DIESEL,AUTOMATIC,1st,Maharashtra," 40,00,000"
Hyundai,I20,2009-2011 Magna,2010,90000.0,PETROL,MANUAL,2nd,Maharashtra," 2,35,000"
Hyundai,i20,Magna (O) 1.2,Jun 2013,"80,000",Petrol,Manual,Second,Noida,3.75
Maruti,Suzuki,Zeta,2019,16777.0,PETROL,MANUAL,1st,Rajasthan," 7,30,000"
Mahindra,XUV500,W8 [2015-2017],Jun 2013,"1,18,238",Diesel,Manual,First,Noida,4.95
Bmw,X3,2011-2013 xDrive20d,2012,122631.0,DIESEL,AUTOMATIC,3rd,Maharashtra," 12,35,000"
Datsun,Go,T,2014,120000,PETROL,MANUAL,Second,Maharashtra," 1,60,000"
Ford,Ikon,1.3 Flair Josh 100,2009,"50,000",PETROL,MANUAL,1st,Karnataka," 50,000"
Maruti,Suzuki,AC,2010,"140,000",PETROL,MANUAL,3rd,Maharashtra," 1,10,000"
Honda,City,2014-2015 i DTEC V,2014,114953,DIESEL,MANUAL,First,Tamil," 6,75,000"
Skoda,Rapid,1.6 MPI-Ambition,2016,41660.0,PETROL,MANUAL,1st,Maharashtra," 5,35,000"
Honda,Amaze,VX i-VTEC,2013,70000.0,PETROL,MANUAL,3rd,Maharashtra," 2,65,000"
Chevrolet,Beat,2010-2013 Diesel LS,2011,"90,000",DIESEL,MANUAL,4th,Karnataka," 3,45,000"
Hyundai,I10,Era,2011,57000.0,PETROL,MANUAL,2nd,Tamil," 3,10,000"
Ford,Figo,2012-2015 Petrol ZXI,2014,75000.0,PETROL,MANUAL,1st,Karnataka," 3,25,000"
Mahindra,Scorpio,2002-2013 M2DI,2008,80000.0,DIESEL,MANUAL,1st,Maharashtra," 2,79,000"
Maruti,Suzuki,VXI,2011,"96,000",PETROL,MANUAL,1st,Karnataka," 2,65,000"
Skoda,Rapid,2011-2013 1.6 TDI Elegance,2012,100000.0,DIESEL,MANUAL,1st,Maharashtra," 2,90,000"
Maruti,Suzuki,AC BSIII,2003,"129,000",PETROL,MANUAL,--,Tamil," 45,000"
Maruti,Suzuki,LXI CNG,2013,68000.0,CNG & HYBRIDS,MANUAL,2nd,Delhi," 2,61,000"
Maruti,Suzuki,2014-2017 VDi Plus SHVS,2017,47000.0,DIESEL,MANUAL,2nd,Delhi," 7,25,000"
Maruti,Suzuki,1.2 Vxi BSIV,2010,85000.0,PETROL,MANUAL,2nd,Delhi," 1,75,000"
Tata,Zest,Revotron 1.2T XE,2015,47000.0,PETROL,MANUAL,1st,Delhi," 3,25,000"
Maruti,Suzuki,LX,2007,79138.0,PETROL,--,3rd,Kerala," 1,00,000"
Hyundai,I20,"Asta 1.4 (O), With Sunroof Diesel",2020,9000.0,DIESEL,AUTOMATIC,1st,Kerala," 10,89,000"
Maruti Suzuki,Ertiga,ZDI + SHVS,May 2017,"75,000",Diesel,Manual,Second,Noida,7.5
Hyundai,Creta,1.6 VTVT S,2018,"28,000",PETROL,AUTOMATIC,1st,Karnataka," 13,50,000"
BMW,6-Series GT,620d Luxury Line [2019-2019],Jun 2019,"31,300",Diesel,Automatic,Second,Noida,56
Land,Rover,Evoque Prestige SD4,2012,"95,000",DIESEL,AUTOMATIC,2nd,Rajasthan," 21,50,000"
Maruti,Suzuki,VXI AMT Optional,2017,20000.0,PETROL,AUTOMATIC,2nd,Kerala," 3,79,000"
Volkswagen,Polo,1.0 MPI Comfortline,2013,72000.0,DIESEL,MANUAL,1st,Rajasthan," 3,51,000"
Ford,Ecosport,Titanium 1.5 TDCi,Jan 2014,"1,27,254",Diesel,Manual,First,Noida,4.22
Chevrolet,Spark,2007-2012 1.0 LT Option Pack w/ Airbag,2012,"44,500",PETROL,MANUAL,2nd,Kerala," 1,30,000"
Mercedes-Benz,New,C 250 CDI Avantgarde,2011,75000.0,DIESEL,AUTOMATIC,2nd,Maharashtra," 11,90,000"
Hyundai,I20,1.4 Asta,2012,110000.0,DIESEL,MANUAL,1st,Tamil," 4,10,000"
Skoda,Superb,LK 2.0 TDI AT,2017,51000.0,DIESEL,AUTOMATIC,1st,Maharashtra," 22,50,000"
Maruti,Suzuki,7 Seater Standard,2011,"69,000",PETROL,MANUAL,2nd,Kerala," 1,95,000"
Maruti Suzuki,XL6,Zeta AT Petrol,Oct 2021,"2,685",Petrol,Automatic,First,Noida,9.98
Toyota,Etios,1.4 GD,2011,82000.0,PETROL,MANUAL,2nd,Karnataka," 3,75,000"
Maruti,Suzuki,1.2 Lxi BSIV,2017,23000.0,PETROL,MANUAL,1st,Maharashtra," 5,00,000"
Maruti,Suzuki,5 Seater,2013,17000.0,PETROL,MANUAL,1st,Karnataka," 2,65,000"
Hyundai,I20,Diesel Sportz,2020,20000,DIESEL,MANUAL,First,Rajasthan," 9,85,000"
Maruti,Suzuki,2010-2012 LXI BS IV,2012,"94,000",PETROL,MANUAL,2nd,Rajasthan," 2,40,000"
Hyundai,I20,2009-2011 Asta 1.4 CRDi (Diesel),2011,"94,000",DIESEL,MANUAL,2nd,Maharashtra," 3,25,000"
Volkswagen,Polo,1.5 TDI Comfortline,2011,68500.0,DIESEL,MANUAL,2nd,Tamil," 3,45,000"
Volkswagen,Passat,2.0 TDI AT Highline,2012,"76,000",DIESEL,AUTOMATIC,1st,Kerala," 11,00,000"
Other,Brands,,2020,--,ELECTRIC,AUTOMATIC,1st,Rajasthan," 15,000"
Chevrolet,Sail,1.2 LS ABS,2014,40000,PETROL,MANUAL,First,Karnataka," 1,75,000"
Ford,Ecosport,,2014,30000.0,PETROL,MANUAL,2nd,Maharashtra," 4,20,000"
Honda,Civic,1.8 V MT,2006,1,PETROL,--,1st,Tamil," 15,000"
Maruti,Suzuki,VXI,2011,70000.0,PETROL,MANUAL,1st,Delhi," 1,90,000"
Ambassador,Ambassador,CLASSIC 1500 DSL,2004,"98,000",DIESEL,MANUAL,3rd,Tamil," 65,000"
Maruti,Suzuki,ZXI MT,2015,28961.0,PETROL,--,1st,Maharashtra," 4,25,000"
Honda,Amaze,1.5 SMT I DTEC,2016,91500.0,DIESEL,MANUAL,1st,Kerala," 4,95,000"
Maruti,Suzuki,1.0 Vxi ABS-Airbag,2017,58000.0,PETROL,MANUAL,1st,Delhi," 3,65,000"
Toyota,Innova,2.5 VX (Diesel) 8 Seater BS IV,2011,120000.0,DIESEL,MANUAL,1st,Maharashtra," 6,35,000"
Maruti,Suzuki,LXI,2006,75000.0,CNG & HYBRIDS,MANUAL,2nd,Delhi," 1,29,999"
Hyundai,Santro,XG,2003,83000.0,PETROL,MANUAL,2nd,Karnataka," 1,25,000"
Hyundai,I10,Era,2010,120000,PETROL,MANUAL,Fourth,Maharashtra," 2,00,000"
Bmw,X5,xDrive 30d M Sport,2016,50000.0,DIESEL,AUTOMATIC,2nd,Tamil," 42,00,000"
Skoda,Rapid,2011-2013 1.6 TDI Ambition,2012,"108,000",DIESEL,MANUAL,2nd,Tamil," 4,25,000"
Maruti,Suzuki,K10 VXi (O),2011,"52,000",LPG,MANUAL,3rd,Maharashtra," 1,70,000"
