Brand,Model,Variant,Year of Manufacture,Driven Kilometers,Fuel type,Transmission Type,Number of Owners,Location,Price in Lakhs
Ford,Ecosport,1.5 Diesel Titanium Plus,2019,74000.0,DIESEL,MANUAL,1st,Rajasthan," 9,50,000"
Maruti,Suzuki,VDI,2016,76000.0,DIESEL,MANUAL,1st,Rajasthan," 5,50,000"
Mahindra,Others,,2008,"150,000",DIESEL,MANUAL,2nd,Kerala," 2,40,000"
Mahindra,Scorpio,2002-2013 M2DI,2008,95000.0,DIESEL,MANUAL,1st,Maharashtra," 2,70,000"
Maruti,Suzuki,VXI,2019,2000.0,PETROL,MANUAL,1st,Karnataka," 4,25,000"
Audi,Q3,35 TDI quattro Premium Plus,Jun 2018,"34,000",Diesel,Automatic,Second,Noida,26.75
Hyundai,Creta,1.6 SX Diesel,2017,"42,000",DIESEL,MANUAL,1st,Rajasthan," 8,90,000"
Maruti,Suzuki,VXI Plus Optional,2017,"15,000",PETROL,MANUAL,1st,Kerala," 4,50,000"
Hyundai,Santro,,2009.0,32000.0,PETROL,--,--,Delhi," 1,40,000"
Chevrolet,Aveo,1.2 LS,2008,36000.0,PETROL,MANUAL,1st,Delhi," 1,10,000"
Hyundai,Grand,Magna 1.1 CRDi,2017,54548.0,--,--,1st,Kerala," 4,70,000"
Toyota,Corolla,1.8 G,2003,120000.0,PETROL,AUTOMATIC,3rd,Kerala," 1,50,000"
Honda,City,i-VTEC V,2018,21000.0,PETROL,MANUAL,1st,Delhi," 8,99,000"
Hyundai,I10,Magna,2009,58000.0,CNG & HYBRIDS,MANUAL,2nd,Delhi," 1,46,000"
Maruti,Suzuki,LXi,2016,79000.0,PETROL,MANUAL,1st,Rajasthan," 3,65,000"
Maruti,Suzuki,Others,2020,"45,000",PETROL,MANUAL,1st,Kerala," 10,75,000"
Volvo,S,D5,2012,56399.0,DIESEL,AUTOMATIC,2nd,Rajasthan," 8,85,000"
Maruti,Suzuki,2011-2014 RS VDI,2011,999999,DIESEL,AUTOMATIC,First,Rajasthan," 2,00,000"
Renault,Lodgy,110 PS RxL 8 STR,2016,145000.0,DIESEL,MANUAL,1st,Karnataka," 5,25,000"
Maruti Suzuki,Ignis,Sigma 1.2 MT,Jun 2018,"17,272",Petrol,Manual,First,Noida,4.6
Maruti,Suzuki,LXI,2014,67542.0,PETROL,MANUAL,1st,Rajasthan," 2,25,000"
Maruti,Suzuki,ZDI Plus,2014,99000.0,DIESEL,MANUAL,1st,Kerala," 4,50,000"
Mercedes,Benz,300 D,2016,94604.0,DIESEL,AUTOMATIC,1st,Maharashtra," 40,00,000"
Maruti,Suzuki,ZDi,2019,19000.0,DIESEL,MANUAL,1st,Tamil," 10,40,000"
Mahindra,Tuv,T6 PLUS,2017,233000.0,DIESEL,MANUAL,1st,Rajasthan," 6,85,000"
Audi,Q3,30 TDI Premium FWD,Jun 2018,"37,686",Diesel,Automatic,First,Noida,29
Tata,Safari,Dicor EX 4X2 BS IV,2014,81000.0,DIESEL,MANUAL,1st,Maharashtra," 4,65,000"
Volkswagen,Jetta,2.0L TDI Highline AT,2015,93000.0,DIESEL,AUTOMATIC,1st,Karnataka," 13,85,000"
Tata,Others,,2012,80000.0,DIESEL,MANUAL,1st,Maharashtra," 1,75,000"
Maruti,Suzuki,Std,2009,80000.0,PETROL,MANUAL,2nd,Kerala," 95,000"
Hyundai,Santro,GLS,2009,95000.0,PETROL,MANUAL,3rd,Rajasthan," 1,35,000"
Honda,City,GXi,2008,98000.0,PETROL,MANUAL,1st,Karnataka," 2,75,000"
Honda,City,VX,Jun 2016,"39,000",Petrol,Manual,First,Noida,8.4
Toyota,Etios,2010-2012 GD,2012,140000.0,DIESEL,MANUAL,2nd,Tamil," 4,60,000"
Maruti,Suzuki,VXI,2013,"55,300",PETROL,MANUAL,1st,Kerala," 2,40,000"
Audi,Q5,2.0 TFSI Quattro,2011,49545.0,PETROL,AUTOMATIC,2nd,Maharashtra," 8,85,000"
Skoda,Kodiaq,2.0 TDI Style,2018,52000.0,DIESEL,AUTOMATIC,1st,Karnataka," 33,00,000"
Maruti,Suzuki,Duo LXi LPG,2009,"51,500",PETROL,MANUAL,2nd,Tamil," 2,25,000"
Maruti,Suzuki,1999-2007 LXI - BSIII,2005,"87,000",PETROL,MANUAL,4th,Karnataka," 1,85,000"
Toyota,Corolla,H2 1.8E,2007,89000.0,PETROL,MANUAL,2nd,Karnataka," 2,85,000"
Hyundai,Eon,Era +,2013,33495.0,PETROL,MANUAL,1st,Maharashtra," 2,60,000"
Mercedes-Benz,CLA,200 CDI Sport,Jun 2017,"22,300",Diesel,Automatic,Second,Noida,27
Maruti,Suzuki,2014-2017 VDi Option SHVS,2016,64000.0,DIESEL,MANUAL,1st,Delhi," 4,75,000"
Bmw,X1,2012-2015 sDrive20d,2016,100000.0,DIESEL,AUTOMATIC,1st,Karnataka," 22,00,000"
Lamborghini,Huracan,LP 610-4,Jun 2014,"16,000",Petrol,Automatic,Third,Noida,2.15
Maruti,Suzuki,2014-2017 VXI AT,2015,99000.0,PETROL,AUTOMATIC,1st,Kerala," 3,75,000"
Mercedes-Benz,E-Class,E250 CDI Avantgarde,2016,29700.0,DIESEL,AUTOMATIC,1st,Karnataka," 33,85,000"
Honda,Brio,1.2 S MT,2013,"47,000",PETROL,--,4th,Tamil," 2,40,000"
Toyota,Fortuner,,2017,99999.0,--,--,--,Kerala," 35,00,000"
Renault,Triber,RXL,2020,45000.0,PETROL,MANUAL,1st,Delhi," 5,10,000"
Bmw,3,320d,2011,75000.0,DIESEL,AUTOMATIC,1st,Maharashtra," 6,99,999"
Maruti,Suzuki,VDI,2008,109000.0,DIESEL,MANUAL,2nd,Tamil," 2,95,000"
Kia,Seltos,GTX 1.4,Jun 2020,"19,400",Petrol,Manual,First,Noida,14.95
Toyota,Innova,2004-2011 2.5 G (Diesel) 8 Seater BS IV,2011,120000,DIESEL,MANUAL,First,Maharashtra," 6,50,000"
Maruti,Suzuki,LX,1999,"97,000",PETROL,MANUAL,2nd,Kerala," 87,000"
